,Title,City,Salary,Rating,Company,Hourly,Salary without $ and K,Min_Salary,Max_Salary,Avg_Salary,State,Title Simp,Seniority
0,DATA SCIENTIST-HEALTHCARE,"Dayton, OH",$56K - $96K ,3.6,Premier Health,0, 56  -  96  ,56,96,76.0,OH,data scientist,na
1,Data Scientist,"Washington, DC",$78K - $150K ,3.9,Deloitte,0, 78  -  150  ,78,150,114.0,DC,data scientist,na
2,Data Scientist,"Lorton, VA",$120K ,2.6,QinetiQ Inc.,0, 120  ,120,120,120.0,VA,data scientist,na
3,Data Scientist with TS Clearance,"Arlington, VA",$86K - $154K ,3.9,Deloitte,0, 86  -  154  ,86,154,120.0,VA,data scientist,na
4,Data Scientist Principal,"Hagerstown, MD",$73K - $137K ,4.0,JLG Equipment Services Inc,0, 73  -  137  ,73,137,105.0,MD,data scientist,sr
5,Sr. Data Scientist,"Chicago, IL",$83K - $138K ,3.7,CNA Insurance,0, 83  -  138  ,83,138,110.5,IL,data scientist,sr
6,Machine Learning Engineer,"Cambridge, MA",$78K - $115K ,4.8,MORSE Corp,0, 78  -  115  ,78,115,96.5,MA,ml,na
7,Staff Data Scientist,"Boston, MA",$96K - $170K ,3.6,"Alteryx, Inc.",0, 96  -  170  ,96,170,133.0,MA,data scientist,na
8,Scientist I or II,"Salt Lake City, UT",$67K - $68K ,3.7,"BioFire Diagnostics, LLC.",0, 67  -  68  ,67,68,67.5,UT,na,na
9,Data Scientist,"Atlanta, GA",$67K - $113K ,2.8,IFG Companies,0, 67  -  113  ,67,113,90.0,GA,data scientist,na
10,Senior Scientist,"Alexandria, MN",$68K - $97K ,3.5,LGC Limited,0, 68  -  97  ,68,97,82.5,MN,na,sr
11,Data Scientist with Polygraph,"Rosslyn, VA",$80K - $148K ,3.9,Deloitte,0, 80  -  148  ,80,148,114.0,VA,data scientist,na
12,Data Scientist,"Portland, ME",$65K - $107K ,3.8,Unum,0, 65  -  107  ,65,107,86.0,ME,data scientist,na
13,Research Data Scientist,"Rockville, MD",$77K - $133K ,3.8,Intelligent Automation,0, 77  -  133  ,77,133,105.0,MD,data scientist,na
14,Research Scientist I - Essentia,"Ankeny, IA",$62K - $120K ,2.8,The Lauridsen Group,0, 62  -  120  ,62,120,91.0,IA,na,na
