,Title,City,Salary,Rating,Company
0,DATA SCIENTIST-HEALTHCARE,"Dayton, OH",$56K - $96K ,3.6,Premier Health
1,Data Scientist,"Washington, DC",$78K - $150K ,3.9,Deloitte
2,Data Scientist,"Lorton, VA",$120K ,2.6,QinetiQ Inc.
3,Data Scientist with TS Clearance,"Arlington, VA",$86K - $154K ,3.9,Deloitte
4,Data Scientist Principal,"Hagerstown, MD",$73K - $137K ,4,JLG Equipment Services Inc
5,Sr. Data Scientist,"Chicago, IL",$83K - $138K ,3.7,CNA Insurance
6,Machine Learning Engineer,"Cambridge, MA",$78K - $115K ,4.8,MORSE Corp
7,Staff Data Scientist,"Boston, MA",$96K - $170K ,3.6,"Alteryx, Inc."
8,Scientist I or II,"Salt Lake City, UT",$67K - $68K ,3.7,"BioFire Diagnostics, LLC."
9,Data Scientist,"Atlanta, GA",$67K - $113K ,2.8,IFG Companies
10,Senior Scientist,"Alexandria, MN",$68K - $97K ,3.5,LGC Limited
11,Data Scientist with Polygraph,"Rosslyn, VA",$80K - $148K ,3.9,Deloitte
12,Data Scientist,"Portland, ME",$65K - $107K ,3.8,Unum
13,Research Data Scientist,"Rockville, MD",$77K - $133K ,3.8,Intelligent Automation
14,Research Scientist I - Essentia,"Ankeny, IA",$62K - $120K ,2.8,The Lauridsen Group
15,Staff Data Scientist,"Tempe, AZ7d",NaN,3.5,Freedom Financial Network
16,Data Engineer,"Boise, ID",$65K - $123K ,3.6,AmerisourceBergen
17,Data Scientist,"Laurel, MD",$100K - $160K ,4.7,Johns Hopkins Applied Physics Laboratory (APL)
18,Lead / Senior Data Scientist,"Austin, TX",$73K - $142K ,3.7,Dealerware
19,Data Engineer,"Ogden, UT",$56K - $111K ,3.8,America First Credit Union
20,Principal Scientist,"Branford, CT",$76K - $155K ,3.7,IsoPlexis
21,Scientist,"Louisville, KY",$47K - $96K ,3.4,Louisville Water Company
22,Data Scientist,"Fairfax, VA",$61K - $77K ,4,"Array Information Technology, Inc."
23,Sr. Manager Advanced Analytics (Data Scientist),"Arlington, VA",$85K - $153K ,3.6,Lidl US
24,Data Analyst,"Orlando, FL",$44K - $79K ,4.1,MMM Holdings
25,"Data Engineer – Fairfax, VA","Fairfax, VA",$73K - $141K ,3.3,Vibrent Health
26,Data Scientist,"Columbus, OH",$65K - $114K ,3.4,Safelite Group
27,Research Scientist,"Reston, VA",$79K - $201K ,3.4,"Metron, Inc."
28,Scientist,"San Diego, CA",$53K - $115K ,2.5,ACON Laboratories
29,Artificial Intelligence/Machine Learning Data Scientist,United States30d+,NaN,3.8,Mitre Corporation
30,Data Review Scientist,"Newark, DE.css-1831hoy{color:#ea7600;text-align:right;line-height:20px !important;}.css-jcbnij{color:#ea7600;text-align:right;line-height:20px !important;font-size:12px !important;font-weight:bold !important;}Hiring Surge24h",NaN,3.4,Charles River Laboratories
31,Jr. Data Engineer - (Hire and Train),"Tampa, FL5d",NaN,3.7,Cognizant Technology Solutions
32,Data Scientist,"Centennial, CONew1d",NaN,3.3,Arrow Electronics
33,Data Specialist,RemoteNew24h,NaN,4.6,Haptik
34,Data Scientist,Remote,$75K - $120K ,NaN,ForMotiv
35,"Data Engineer, Data Science",RemoteHiring Surge30d+,NaN,4.1,Numerator
36,Data Scientist,"Chevy Chase, MD30d+",NaN,3.5,GEICO
37,Computational Biologist / Data Scientist,"Cambridge, MATop Company14d",NaN,4.2,Novartis
38,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle
39,Data Scientist,"New York, NYNew24h",NaN,3.7,AllianceBernstein
40,Staff Data Scientist,"East Boston, MA30d+",NaN,3.6,"Alteryx, Inc."
41,Machine Learning Data Scientist,"San Francisco, CA5d",NaN,4.9,Oura
42,Sr Data Scientist,"Salt Lake City, UT",$80K - $140K ,3.8,Zions Bancorporation
43,Data Scientist - Remote Nationwide,"San Antonio, TX2d",NaN,3.6,UnitedHealth Group
44,Data Scientist,"San Jose, CATop Company30d+",NaN,4.1,PayPal
45,Data Scientist,Remote,$63 - $82 Per Hour,4.4,ids
46,Hire and Train Data Scientist/ Engineer,"San Francisco, CA19d",NaN,3.7,Cognizant Technology Solutions
47,Venmo Risk Data Scientist,"Chicago, ILTop Company24h",NaN,4.1,PayPal
48,"Data Scientist, LTV - HBO Max","Bunker Hill Towers, CA30d+",NaN,3.7,HBO Max
49,Data Scientist,"Los Altos, CAEasy Apply1d",NaN,NaN,"Alto Neuroscience, Inc."
50,"Associate Data Scientist I, II, or III","Salt Lake City, UT30d+",NaN,3.7,"BioFire Diagnostics, LLC."
51,Biological Data Scientist,"Richland, WANew24h",NaN,4.2,Pacific Northwest National Laboratory
52,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl
53,Data Scientist/Machine Learning,Remote,$67 - $69 Per Hour,NaN,Vezita Tech Inc
54,Machine Learning Engineer,"Mountain View, CA28d",NaN,3.9,TikTok
55,Senior Data Scientist,"Austin, TX24h",NaN,4.5,Bumble
56,Statistician (contract),RemoteTop Company13d,NaN,4.2,Pfizer
57,Data Scientist,Remote5d,NaN,2.8,U.Group
58,Data Scientist-Senior,"Washington, DC",$119K - $201K ,3.5,Perspecta
59,Scientist - New Product Development,"Lancaster, PA",$48K - $72K ,3.8,Armstrong World Industries
60,Ph.D. Scientist,"Novato, CAHot.css-65p68w{line-height:20px !important;}.css-r3emcz{background:transparent;color:#505863;font-size:12px;font-weight:700;line-height:20px;padding:0;}Easy Apply8d",NaN,NaN,Marin Biologic Laboratories
61,Data Scientist Senior Manager,"Gilbert, AZ",$98K - $183K ,3.9,Deloitte
62,"Research Scientist, Level 2","Catonsville, MD",$79K - $103K ,4.2,ManTech International Corporation
63,Senior Data Analyst,"Los Angeles, CA",$82K - $155K ,4,PubNub
64,Research Scientist - Metabolic Pathways,"Blacksburg, VA",$70K - $124K ,NaN,"Landos Biopharma, Inc."
65,Data Scientist,"Washington, DC",$92K - $182K ,4.1,Copper River Shared Services
66,Financial Data Analyst (South of Milwaukee),"Milwaukee, WI",$65K - $79K ,3.6,Uline
67,Data Integrator/Data Engineer,"Fort Bragg, NCEasy Apply5d",NaN,4,"RDR, INC."
68,Fleet Coordinator (Data Analyst),"Tampa, FL",$42K - $79K ,3.8,Valet Living
69,Data Engineer,"Milwaukee, WI",$60K - $114K ,NaN,Sift Healthcare
70,SCIENTIST - BIOPHARMACEUTICALS,"Middleton, WI",$33K - $63K ,4,PPD
71,Technology Transfer Scientist,"Carlsbad, CAEasy Apply15d",NaN,NaN,Lumos Diagnostics
72,Data Scientist,"Herndon, VA",$79K - $131K ,3.6,"ATCS, P.L.C."
73,Customer Success Jr. Data Scientist,"Folsom, CA",$69K - $121K ,NaN,"Opeeka, Inc."
74,Artificial Intelligence/Machine Learning Engineer Associate,"McLean, VA",$69K - $143K ,3.8,Mitre Corporation
75,Scientist/Senior Scientist_Immuno-oncology,"Gaithersburg, MD",$60K - $128K ,5,"Salubris Biotherapeutics, Inc."
76,Associate Consumer Scientist,"Caryville, TN",$33K - $76K ,4.3,BSH Home Appliances Group
77,Financial Data Analyst,"Pleasant Prairie, WI",$65K - $79K ,3.6,Uline
78,"Data Scientist, Medical Diagnostics","Mountain View, CA",$88K - $150K ,3.5,Specific Diagnostics
79,Data Analyst,"Anchorage, AK",$40K - $79K ,3.4,Alaska Heart and Vascular Institute
80,"Senior Remediation Engineer, Geologist, Scientist","El Dorado, AR",$62K - $117K ,3.4,Clean Harbors
81,Data Scientist Manager,"Arlington, VA",$92K - $180K ,3.9,Deloitte
82,Data Scientist - Defense &amp; Intelligence,"Fort Meade, MD",$89K - $133K ,4.3,Elder Research Inc
